UserID,EmployeeID,Username,PasswordHash,LastLogin,IsActive
23,23,bi.hu.phong.23,55107f524e8d2294389b60ad462bd8b60df975722d29bfdb7933d8cd7347fdb9,2024-07-13 10:00:58,1
24,24,.kim.lm.24,80c2430bfe394cabb59405ff048d96d52fcf96ac4af8f5415bd5069b86ba1ab5,2025-08-08 21:30:18,1
25,25,phm.th.long.25,a7fce2e4c914358ef9b12550918b6886c5dce32fa52ada3dd54715e99fbb5388,2025-12-12 03:18:55,1
26,26,.c.long.26,a9a6c674aa853608fde895ee9ae49f5ed756a63f9d418bee9fee0ef6634c270f,2024-04-12 10:51:13,1
27,27,phan.kim.giang.27,985707979418dd5623dd56774c697512f0b5d8a830039e8ca81647462d5d9dd8,2025-01-19 07:37:49,1
28,28,hunh.anh.tun.28,a08f23fa19c89f0a154ac1c7bf72f8edc29b8ebcb4e0efbe3357ccddf8928243,2025-01-09 02:35:15,1
29,29,dng.minh.phong.29,729cb32814012ce02a6743c8076177d69501178c23536459b75c1926637911b7,2024-10-05 17:48:15,1
30,30,phan.anh.tun.30,2d7cce07815e992ab80ba87142da5fa6a91e2573763442fe3c7bd10b9b823cd4,2026-01-20 20:15:17,1
31,31,ng.minh.hnh.31,cfd7fd026a6f8fc887d7c97c099cd00b25d65ad2447b5d3eb1e75844f72653b9,2025-01-10 21:51:55,1
32,32,nguyn.anh.ngn.32,5850ef78db07625dc6b37362a83a63076d40f6c9cb8eebb30f4e3355d28594b8,2024-05-22 10:55:01,1
33,33,phan.hu.khnh.33,d1dd7dd8b0155649eafbe4a2a390ba1b33ceb8029d5b915932a44ccef2dc8619,2024-03-27 03:37:28,0
34,34,hong.xun.vy.34,7f2bc589d68bd79579710ef03a9cb2c40650eb6b12ecdfa81153c93c02fd1182,2024-02-09 23:57:27,1
35,35,nguyn.c.hng.35,da2de93e1cbbd718a45e526f7a096bd7ac44b5102dc417bbdbeec33aab9cbb78,2024-07-05 21:23:29,1
36,36,h.quc.sn.36,edb93d91bca006f2b8daaf9d94164f1c23f0a1fc990f38929ed226bb082df54c,2026-02-21 00:56:29,1
37,37,.c.hiu.37,5d1d65a4abed8033fb5a85c34edb9a484cebad3d27289c45f7ad95628aa379ac,2026-02-12 08:35:13,1
38,38,trn.quc.ha.38,8936d29242d595c502fce36dbfe752ada00a4c4fd8392eaa4f491b99719814ba,2025-01-27 07:10:53,1
39,39,ng.anh.mai.39,590aad9611cd3bcdc2bccf580c3ce3863e8533c86cd477e62dbf1536f9a5aff1,2024-04-01 17:51:43,1
40,40,hong.th.hnh.40,a2d27cb5ec74747cd8700c0b91ec2b2486d5be2c8870009bd9e4397a03ca86c5,2024-06-14 14:15:27,1
41,41,.th.tun.41,1dab79e3d454350ed98c02b6eacbe18d903684b472f7202028dde1ba4fd8efc0,2025-02-09 09:33:47,1
42,42,.c.chu.42,a1ed71734f9d3b6728599d7aee5e77ba38a60f6f3b1b7ec8d788b58e7b20218f,2025-09-07 03:30:31,1
43,43,ng.xun.ha.43,42efcf362934b6f73640223ebf9bd719f110f606483ab820c4a03b46747ec350,2026-03-25 21:08:07,1
44,44,trn.quc.qun.44,e9232fb5e6596cab8b20f28a268cef879086e954b7726ec650ea7a07e5279535,2026-03-08 18:00:09,1
45,45,phan.gia.hng.45,90d31a8dd254c0138b7a7a7f760d38d55dabadd02e656adf7a7f79c4c0bcc4b7,2024-12-04 00:33:50,1
46,46,bi.ngc.long.46,86da30c553bc35dac5485dd8d4043cdc3b5140e73af1e9eabf54ba92396ca3a9,2025-06-30 02:59:17,1
47,47,bi.xun.vy.47,c7eeee332b93dcc3c28693b5ad649cd1e10b7d1e47fdaa144735b06ff597bd90,2024-12-08 19:10:11,1
48,48,hong.thanh.yn.48,948ae8608b650d0c42bff31c7cb1301e038a5160421b4fbc91a0d7fc8624de44,2025-09-25 11:23:33,1
49,49,v.anh.yn.49,9637370a1ee0e5f5ce9d149ed51ab5758fd1c89b6a55f06edaf56b6104d0d66f,2025-01-23 08:56:25,1
